system:time_start,meanMCARI
"Jan 19, 2021",0.027
"Mar 30, 2021",0.118
"Apr 4, 2021",0.157
"Apr 14, 2021",0.217
"Apr 24, 2021",0.21
"May 14, 2021",0.266
"May 29, 2021",0.33
"Jun 3, 2021",0.11
"Jun 13, 2021",0.159
"Jun 18, 2021",0.168
"Jul 18, 2021",0.347
"Jul 23, 2021",0.08
"Aug 12, 2021",0.284
"Sep 1, 2021",0.26
"Sep 6, 2021",0.086
"Oct 1, 2021",0.277
"Oct 16, 2021",0.281
"Jan 29, 2022",0.063
"Feb 8, 2022",0.08
"Feb 13, 2022",0.077
"Feb 28, 2022",0.077
"Mar 5, 2022",0.076
"Mar 10, 2022",0.063
"Mar 20, 2022",0.063
"Mar 25, 2022",0.066
"Apr 14, 2022",0.185
"Apr 19, 2022",0.142
"May 14, 2022",0.356
"May 19, 2022",0.108
"Jun 13, 2022",0.281
"Jun 18, 2022",0.187
"Jun 23, 2022",0.19
"Jul 3, 2022",0.115
"Jul 8, 2022",0.182
"Jul 13, 2022",0.196
"Jul 18, 2022",0.167
"Jul 28, 2022",0.026
"Aug 2, 2022",0.119
"Aug 12, 2022",0.07
"Aug 22, 2022",0.095
"Aug 27, 2022",0.102
"Sep 21, 2022",0.143
"Oct 6, 2022",0.184
"Oct 16, 2022",0.055
"Oct 26, 2022",0.06
"Nov 10, 2022",0.08
"Feb 3, 2023",0.097
"Mar 15, 2023",0.069
"Apr 4, 2023",0.077
"Apr 9, 2023",0.108
"May 4, 2023",0.07
"May 29, 2023",0.102
"Jun 3, 2023",0.096
"Jun 8, 2023",0.09
"Jun 13, 2023",0.096
"Jun 23, 2023",0.09
"Jul 23, 2023",0.02
"Aug 22, 2023",0.036
"Sep 1, 2023",0.107
"Sep 6, 2023",0.142
"Sep 11, 2023",0.112
"Sep 16, 2023",0.232
"Sep 26, 2023",0.072
"Oct 1, 2023",0.021
"Oct 6, 2023",0.014
"Oct 11, 2023",0.006
"Oct 16, 2023",0.01
