date,meanMCARI
24-Jan-21,0.007
23-Feb-21,0.063
30-Mar-21,0.118
4-Apr-21,0.16
24-Apr-21,0.216
29-May-21,0.33
13-Jun-21,0.159
18-Jun-21,0.168
18-Jul-21,0.347
23-Jul-21,0.08
12-Aug-21,0.284
1-Sep-21,0.26
6-Sep-21,0.086
1-Oct-21,0.29
16-Oct-21,0.288
21-Oct-21,0.173
31-Oct-21,
14-Jan-22,0.06
8-Feb-22,0.081
13-Feb-22,0.077
28-Feb-22,0.077
5-Mar-22,0.076
10-Mar-22,0.065
20-Mar-22,0.063
25-Mar-22,0.066
14-Apr-22,0.203
13-Jun-22,0.281
18-Jun-22,0.187
23-Jun-22,0.19
3-Jul-22,0.118
8-Jul-22,0.182
13-Jul-22,0.196
18-Jul-22,0.178
2-Aug-22,0.119
12-Aug-22,0.07
22-Aug-22,0.095
21-Sep-22,0.143
6-Oct-22,0.184
26-Oct-22,0.06
10-Nov-22,0.08
13-Feb-23,0.01
15-Mar-23,0.069
4-Apr-23,0.077
9-Apr-23,0.108
29-May-23,0.102
3-Jun-23,0.096
13-Jun-23,0.096
28-Jun-23,0.057
22-Aug-23,0.036
6-Sep-23,0.146
11-Sep-23,0.112
