date,meanMCARI
24-Jan-21,0
23-Feb-21,0.061
30-Mar-21,0.126
4-Apr-21,0.166
24-Apr-21,0.229
29-May-21,0.335
13-Jun-21,0.146
18-Jun-21,0.178
18-Jul-21,0.355
23-Jul-21,0.075
12-Aug-21,0.3
1-Sep-21,0.281
6-Sep-21,0.082
1-Oct-21,0.31
16-Oct-21,0.297
21-Oct-21,0.194
31-Oct-21,
14-Jan-22,0.055
8-Feb-22,0.06
13-Feb-22,0.065
28-Feb-22,0.069
5-Mar-22,0.066
10-Mar-22,0.054
20-Mar-22,0.066
25-Mar-22,0.07
14-Apr-22,0.208
13-Jun-22,0.306
18-Jun-22,0.194
23-Jun-22,0.222
3-Jul-22,0.122
8-Jul-22,0.183
13-Jul-22,0.199
18-Jul-22,0.183
2-Aug-22,0.118
12-Aug-22,0.072
22-Aug-22,0.095
21-Sep-22,0.143
6-Oct-22,0.179
26-Oct-22,0.066
10-Nov-22,0.081
13-Feb-23,0
15-Mar-23,0.073
4-Apr-23,0.079
9-Apr-23,0.1
29-May-23,0.122
3-Jun-23,0.088
13-Jun-23,0.087
28-Jun-23,0.06
22-Aug-23,0.026
6-Sep-23,0.078
11-Sep-23,0.075
