20230207,20230317,20230404,20230414,20230421,20230505,20230519,20230531,20230619,20230711
0.41,0.96,1.67,2.51,2.82,3.56,4.01,4.47,3.72,2.34
0.29,0.85,2.03,3.01,2.59,4.02,4.18,4.46,4.22,2.6
0.32,0.91,1.46,2.11,2.09,3.27,4.04,3.48,3.29,1.98
0.53,0.84,2.42,1.65,2.11,2.67,2.91,3,2.99,2.08
