Date,mean_LAI
29.9.2020,0.37
19.10.2020,2.18
8.12.2020,2.04
26.5.2021,3.78
20.7.2021,3.9
2.9.2021,6.05
19.10.2021,3.93
10.5.2022,6.64
27.6.2022,5.1
13.7.2022,2.96
8.8.2022,5.42
19.9.2022,3.2
