system:time_start,meanNDRE
"Jan 19, 2021",-0.05
"Mar 30, 2021",0.551
"Apr 4, 2021",0.635
"Apr 14, 2021",0.668
"Apr 24, 2021",0.687
"May 14, 2021",0.724
"May 29, 2021",0.671
"Jun 3, 2021",0.252
"Jun 18, 2021",0.562
"Jul 18, 2021",0.633
"Jul 23, 2021",0.262
"Aug 12, 2021",0.636
"Sep 1, 2021",0.71
"Sep 6, 2021",0.315
"Oct 1, 2021",0.68
"Oct 16, 2021",0.7
"Jan 29, 2022",0.376
"Feb 8, 2022",0.397
"Feb 13, 2022",0.389
"Feb 28, 2022",0.43
"Mar 5, 2022",0.45
"Mar 10, 2022",0.414
"Mar 20, 2022",0.44
"Mar 25, 2022",0.492
"Apr 14, 2022",0.639
"Apr 19, 2022",0.649
"May 14, 2022",0.51
"May 19, 2022",0.295
"Jun 13, 2022",0.668
"Jun 18, 2022",0.647
"Jun 23, 2022",0.63
"Jul 3, 2022",0.397
"Jul 8, 2022",0.552
"Jul 13, 2022",0.621
"Jul 18, 2022",0.646
"Jul 28, 2022",0.502
"Aug 2, 2022",0.653
"Aug 12, 2022",0.34
"Aug 22, 2022",0.459
"Aug 27, 2022",0.521
"Sep 21, 2022",0.517
"Oct 6, 2022",0.478
"Oct 16, 2022",0.268
"Oct 26, 2022",0.297
"Nov 10, 2022",0.366
"Feb 3, 2023",0.42
"Mar 15, 2023",0.482
"Apr 4, 2023",0.601
"Apr 9, 2023",0.582
"May 4, 2023",0.661
"May 29, 2023",0.74
"Jun 3, 2023",0.735
"Jun 8, 2023",0.717
"Jun 13, 2023",0.676
"Jun 23, 2023",0.546
"Jul 23, 2023",0.176
"Aug 22, 2023",0.168
"Sep 1, 2023",0.296
"Sep 6, 2023",0.393
"Sep 11, 2023",0.443
"Sep 16, 2023",0.536
"Sep 26, 2023",0.376
"Oct 1, 2023",0.186
"Oct 6, 2023",0.168
"Oct 11, 2023",0.148
"Oct 16, 2023",0.197
