system:time_start,meanNDRE
"Jan 19, 2021",-0.053
"Mar 30, 2021",0.557
"Apr 4, 2021",0.646
"Apr 14, 2021",0.669
"Apr 24, 2021",0.696
"May 14, 2021",0.727
"May 29, 2021",0.675
"Jun 3, 2021",0.255
"Jun 13, 2021",0.429
"Jun 18, 2021",0.565
"Jul 18, 2021",0.632
"Jul 23, 2021",0.262
"Aug 12, 2021",0.631
"Sep 1, 2021",0.698
"Sep 6, 2021",0.316
"Oct 1, 2021",0.682
"Oct 16, 2021",0.703
"Jan 29, 2022",0.376
"Feb 8, 2022",0.389
"Feb 13, 2022",0.395
"Feb 28, 2022",0.446
"Mar 5, 2022",0.454
"Mar 10, 2022",0.416
"Mar 20, 2022",0.435
"Mar 25, 2022",0.49
"Apr 14, 2022",0.643
"Apr 19, 2022",0.648
"May 14, 2022",0.511
"May 19, 2022",0.294
"Jun 13, 2022",0.669
"Jun 18, 2022",0.65
"Jun 23, 2022",0.642
"Jul 3, 2022",0.387
"Jul 8, 2022",0.547
"Jul 13, 2022",0.624
"Jul 18, 2022",0.646
"Jul 28, 2022",0.504
"Aug 2, 2022",0.644
"Aug 12, 2022",0.337
"Aug 17, 2022",0.283
"Aug 22, 2022",0.449
"Aug 27, 2022",0.508
"Sep 21, 2022",0.521
"Oct 6, 2022",0.476
"Oct 16, 2022",0.261
"Oct 26, 2022",0.303
"Nov 10, 2022",0.373
"Feb 3, 2023",0.407
"Mar 15, 2023",0.481
"Apr 4, 2023",0.597
"Apr 9, 2023",0.581
"May 4, 2023",0.658
"May 29, 2023",0.743
"Jun 3, 2023",0.734
"Jun 8, 2023",0.721
"Jun 13, 2023",0.669
"Jun 23, 2023",0.546
"Jul 23, 2023",0.183
"Aug 22, 2023",0.148
"Sep 1, 2023",0.255
"Sep 6, 2023",0.351
"Sep 11, 2023",0.406
"Sep 16, 2023",0.504
"Sep 26, 2023",0.357
"Oct 1, 2023",0.19
"Oct 6, 2023",0.167
"Oct 11, 2023",0.138
"Oct 16, 2023",0.19
