system:time_start,meanNDRE
"Jan 19, 2021",-0.049
"Mar 30, 2021",0.544
"Apr 4, 2021",0.633
"Apr 14, 2021",0.657
"Apr 24, 2021",0.676
"May 14, 2021",0.72
"May 29, 2021",0.68
"Jun 3, 2021",0.258
"Jun 13, 2021",0.475
"Jun 18, 2021",0.562
"Jul 18, 2021",0.62
"Jul 23, 2021",0.267
"Aug 12, 2021",0.619
"Sep 1, 2021",0.69
"Sep 6, 2021",0.317
"Oct 1, 2021",0.676
"Oct 16, 2021",0.699
"Jan 29, 2022",0.409
"Feb 8, 2022",0.437
"Feb 13, 2022",0.407
"Feb 28, 2022",0.448
"Mar 5, 2022",0.449
"Mar 10, 2022",0.415
"Mar 20, 2022",0.435
"Mar 25, 2022",0.482
"Apr 14, 2022",0.629
"Apr 19, 2022",0.642
"May 14, 2022",0.505
"May 19, 2022",0.301
"Jun 13, 2022",0.673
"Jun 18, 2022",0.646
"Jun 23, 2022",0.639
"Jul 3, 2022",0.401
"Jul 8, 2022",0.565
"Jul 13, 2022",0.638
"Jul 18, 2022",0.654
"Jul 28, 2022",0.497
"Aug 2, 2022",0.638
"Aug 12, 2022",0.348
"Aug 17, 2022",0.285
"Aug 22, 2022",0.445
"Aug 27, 2022",0.462
"Sep 21, 2022",0.52
"Oct 6, 2022",0.484
"Oct 16, 2022",0.259
"Oct 26, 2022",0.286
"Nov 10, 2022",0.361
"Feb 3, 2023",0.394
"Mar 15, 2023",0.461
"Apr 4, 2023",0.562
"Apr 9, 2023",0.551
"May 4, 2023",0.631
"May 29, 2023",0.715
"Jun 3, 2023",0.703
"Jun 8, 2023",0.685
"Jun 13, 2023",0.621
"Jun 23, 2023",0.474
"Jul 23, 2023",0.18
"Aug 22, 2023",0.174
"Sep 1, 2023",0.301
"Sep 6, 2023",0.407
"Sep 11, 2023",0.451
"Sep 16, 2023",0.538
"Sep 26, 2023",0.337
"Oct 1, 2023",0.197
"Oct 6, 2023",0.18
"Oct 11, 2023",0.153
"Oct 16, 2023",0.199
