quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara,water,WC (%),average WC
1,1,10.35,22.7,11.96,12.35,1.61,10.74,86.96356275,83.15319705
1,2,10.35,36.5,13.7,26.15,3.35,22.8,87.18929254,
1,3,10.35,37.89,15.97,27.54,5.62,21.92,79.59331881,
2,1,10.35,47.33,18.01,36.98,7.66,29.32,79.28610059,
2,2,10.35,32.27,14.11,21.92,3.76,18.16,82.84671533,
2,3,10.35,35.45,14.58,25.1,4.23,20.87,83.14741036,
3,1,10.35,40.69,16.6,30.34,6.25,24.09,79.40013184,
3,2,10.35,22.68,12.81,12.33,2.46,9.87,80.0486618,
3,3,10.35,28.38,12.87,18.03,2.52,15.51,86.02329451,
4,1,10.35,43.18,15.97,32.83,5.62,27.21,82.88151081,
4,2,10.35,56.29,16.54,45.94,6.19,39.75,86.52590335,
4,3,10.35,28.71,13.3,18.36,2.95,15.41,83.93246187,
