quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara
1,1,10.43,81.73,24.17,71.3,13.74
1,2,10.42,116.44,23.34,106.02,12.92
1,3,10.47,87.21,18.68,76.74,8.21
2,1,10.52,66.76,21.13,56.24,10.61
2,2,10.51,51.65,16.94,41.14,6.43
2,3,10.51,32.76,14.68,22.25,4.17
3,1,10.54,51.74,18.46,41.2,7.92
3,2,10.5,42.87,15.91,32.37,5.41
3,3,10.55,76.05,21.66,65.5,11.11
4,1,10.57,69.08,19.71,58.51,9.14
4,2,10.39,75.23,20.69,64.84,10.3
4,3,10.4,83.88,19.83,73.48,9.43
