quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara,water,WC (%),average WC
1,1,10.63,33.45,16.32,22.82,5.69,17.13,75.06573181,77.185291
1,2,10.6,36.47,16.52,25.87,5.92,19.95,77.11635099,
1,3,10.5,27.38,14.55,16.88,4.05,12.83,76.007109,
2,1,10.59,14.75,11.17,4.16,0.58,3.58,86.05769231,
2,2,10.64,25.01,14.44,14.37,3.8,10.57,73.55601949,
2,3,10.56,43.58,18.17,33.02,7.61,25.41,76.9533616,
3,1,10.61,18.32,12.19,7.71,1.58,6.13,79.50713359,
3,2,10.54,27.79,14.62,17.25,4.08,13.17,76.34782609,
3,3,10.54,23.27,13.32,12.73,2.78,9.95,78.16182247,
4,1,10.47,24.24,13.79,13.77,3.32,10.45,75.88961511,
4,2,10.51,29.7,15.28,19.19,4.77,14.42,75.1433038,
4,3,10.53,26.05,14.19,15.52,3.66,11.86,76.41752577,
