quadrant (Q),sample,tara (g),wet (g),dry (g),wet - tara,dry - tara,water,WC (%),average WC
1,1,10.35,42.98,18.07,32.63,7.72,24.91,76.34079068,75.63372118
1,2,10.44,35.92,16.54,25.48,6.1,19.38,76.05965463,
1,3,10.45,36.3,16.45,25.85,6,19.85,76.78916828,
2,1,10.39,29.37,15.06,18.98,4.67,14.31,75.39515279,
2,2,10.36,38.98,18.11,28.62,7.75,20.87,72.92103424,
2,3,10.34,52,20.38,41.66,10.04,31.62,75.90014402,
3,1,10.29,40.99,17.61,30.7,7.32,23.38,76.15635179,
3,2,10.28,37.75,16.64,27.47,6.36,21.11,76.84746997,
3,3,10.31,32.1,15.35,21.79,5.04,16.75,76.87012391,
4,1,10.32,28.43,14.87,18.11,4.55,13.56,74.87575925,
4,2,10.37,41.49,17.88,31.12,7.51,23.61,75.86760925,
4,3,10.4,31.9,16.08,21.5,5.68,15.82,73.58139535,
