date,dry-tara,%N corr.,Nitrogen_uptake_gperm2,Nitrogen_uptake_kgperha
7/20/2021,42.83,2.020912187,8.655566897,86.55566897
9/2/2021,35.17,2.674552979,9.406402827,94.06402827
9/2/2021,28.85,2.050740355,5.916385924,59.16385924
9/2/2021,36.48,2.470716539,9.013173934,90.13173934
9/2/2021,33.97,2.83886026,9.643608303,96.43608303
10/19/2021,19.54,2.717211804,5.309431865,53.09431865
10/19/2021,27.43,3.284791111,9.010182017,90.10182017
10/19/2021,21,3.420516093,7.183083795,71.83083795
10/19/2021,34.52,3.789830814,13.08249597,130.8249597
5/10/2022,46.8,2.341216459,10.95689303,109.5689303
5/10/2022,45.8,2.045856338,9.370022028,93.70022028
5/10/2022,54.92,2.518382034,13.83095413,138.3095413
5/10/2022,31.5,2.877269247,9.063398128,90.63398128
6/27/2022,20.54,2.829308275,5.811399197,58.11399197
6/27/2022,39.03,3.067423506,11.97215394,119.7215394
6/27/2022,47.76,2.764618869,13.20381972,132.0381972
6/27/2022,26.69,2.081886719,5.556555653,55.56555653
8/8/2022,42.63,2.842066798,12.11573076,121.1573076
8/8/2022,13.09,2.931526765,3.837368535,38.37368535
8/8/2022,10.82,2.811933911,3.042512492,30.42512492
8/8/2022,27.26,2.900324196,7.906283758,79.06283758
9/19/2022,11.67,3.504762649,4.090058011,40.90058011
9/19/2022,12.87,3.844063101,4.947309211,49.47309211
9/19/2022,9.39,3.465102445,3.253731196,32.53731196
9/19/2022,10.56,3.591205577,3.792313089,37.92313089
7/17/2023,42.36,0.538958935,2.283030049,22.83030049
7/17/2023,12.83,0.503825319,0.646407884,6.464078843
7/17/2023,8.15,0.468189523,0.381574461,3.815744612
7/17/2023,7.39,0.492685979,0.364094938,3.640949385
7/17/2023,4.95,0.470897816,0.233094419,2.330944189
7/17/2023,9.82,0.476957806,0.468372565,4.683725655
7/17/2023,9.95,0.661854834,0.65854556,6.585455598
