Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
27.06.2022,spot 1,30.09,131.97,50.63,101.88,20.54
27.06.2022,spot 2,30.22,212,69.25,181.78,39.03
27.06.2022,spot 3,30.19,253.85,77.95,223.66,47.76
27.06.2022,spot 4,30.19,148.03,56.88,117.84,26.69
