Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
26.05.2021,spot 1,29.9,375.2,84.69,345.3,54.79
26.05.2021,spot 2,30.04,441.03,95.77,410.99,65.73
26.05.2021,spot 3,29.79,403.83,88.96,374.04,59.17
26.05.2021,spot 4,29.86,494.21,116.31,464.35,86.45
