Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
02.09.2021,spot 1,30.79,227.59,65.96,196.8,35.17
02.09.2021,spot 2,30.74,178.65,59.59,147.91,28.85
02.09.2021,spot 3,30.61,216.43,67.09,185.82,36.48
02.09.2021,spot 4,30.84,204.97,64.81,174.13,33.97
