Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
19.10.2021,spot 1,29.91,138.04,49.45,108.13,19.54
19.10.2021,spot 2,29.96,185.51,57.39,155.55,27.43
19.10.2021,spot 3,29.81,150.09,50.81,120.28,21
19.10.2021,spot 4,29.79,224.58,64.31,194.79,34.52
