Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
19.10.2020,spot 1,29.83,65.35,34.86,35.52,5.03
19.10.2020,spot 2,29.64,53.36,33.03,23.72,3.39
19.10.2020,spot 3,29.77,59.56,34.22,29.79,4.45
19.10.2020,spot 4,29.83,83.34,37.56,53.51,7.73
