Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
20.07.2021,spot 1,30.74,275.33,75.51,244.59,44.77
20.07.2021,spot 2,30.77,363.66,91.9,332.89,61.13
20.07.2021,spot 3,30.81,412.7,98.31,381.89,67.5
20.07.2021,spot 4,30.68,240.24,73.51,209.56,42.83
