Date,Harvest Sample,tara (g),wet (g),dry (g),wet-tara,dry-tara
10.05.2022,spot 1,29.86,327.52,76.66,297.66,46.8
10.05.2022,spot 2,29.64,275.25,75.44,245.61,45.8
10.05.2022,spot 3,29.56,379,84.48,349.44,54.92
10.05.2022,spot 4,29.49,215.72,60.99,186.23,31.5
