Date,mean_height(cm)
9/29/2020,9.9
10/19/2020,17.8
12/8/2020,13.7
6/25/2021,56.9
7/20/2021,49.7
9/2/2021,33.4
10/19/2021,27.2
5/10/2022,54.4
6/27/2022,40.4
