sample,tara (g),wet (g),dry (g),wet-tara,dry-tara,water,WC (%),average WC
1,29.68,83.38,41.35,53.7,11.67,42.03,78.26815642,78.39385635
2,29.86,90.98,42.73,61.12,12.87,48.25,78.94306283,
3,29.9,73.01,39.29,43.11,9.39,33.72,78.21851079,
4,29.99,78.31,40.55,48.32,10.56,37.76,78.14569536,
