sample,tara (g),wet (g),dry (g),wet-tara,dry-tara,water,WC (%)
1,29.69,65.49,37.32,28.17,7.63,20.54,72.91444799
2,29.74,77.68,40.12,37.56,10.38,27.18,72.36421725
