sample,tara (g),wet (g),dry (g),wet-tara,dry-tara,water,WC (%),average WC
1,29.87,175.34,72.5,145.47,42.63,102.84,70.69498866,69.42128235
2,29.88,76.42,42.97,46.54,13.09,33.45,71.87365707,
3,29.76,62.54,40.58,32.78,10.82,21.96,66.99206833,
4,29.78,115.3,57.04,85.52,27.26,58.26,68.12441534,
